ID;Updated;Confirmed;ConfirmedChange;Deaths;DeathsChange;Recovered;RecoveredChange;Latitude;Longitude;ISO2;ISO3;Country_Region;AdminRegion1
7159936;27-2-2020;1;;0;;;;5.234.226;552.816;NL;NLD;Netherlands;
7159938;28-2-2020;2;1;0;0;;;5.234.226;552.816;NL;NLD;Netherlands;
7159941;29-2-2020;6;4;0;0;;;5.234.226;552.816;NL;NLD;Netherlands;
7159943;1-3-2020;9;3;0;0;;;5.234.226;552.816;NL;NLD;Netherlands;
7159945;2-3-2020;19;10;0;0;;;5.234.226;552.816;NL;NLD;Netherlands;
7159947;3-3-2020;24;5;0;0;;;5.234.226;552.816;NL;NLD;Netherlands;
7159949;4-3-2020;38;14;0;0;;;5.234.226;552.816;NL;NLD;Netherlands;
7159951;5-3-2020;82;44;0;0;;;5.234.226;552.816;NL;NLD;Netherlands;
7159954;6-3-2020;128;46;1;1;0;;5.234.226;552.816;NL;NLD;Netherlands;
7159956;7-3-2020;188;60;1;0;0;0;5.234.226;552.816;NL;NLD;Netherlands;
7159958;8-3-2020;264;76;3;2;0;0;5.234.226;552.816;NL;NLD;Netherlands;
7159961;9-3-2020;321;57;4;1;0;0;5.234.226;552.816;NL;NLD;Netherlands;
7159963;10-3-2020;382;61;4;0;0;0;5.234.226;552.816;NL;NLD;Netherlands;
7159965;11-3-2020;503;121;5;1;0;0;5.234.226;552.816;NL;NLD;Netherlands;
7159968;12-3-2020;614;111;5;0;0;0;5.234.226;552.816;NL;NLD;Netherlands;
7159970;13-3-2020;804;190;10;5;0;0;5.234.226;552.816;NL;NLD;Netherlands;
7159972;14-3-2020;959;155;12;2;;;5.234.226;552.816;NL;NLD;Netherlands;
7159974;15-3-2020;1135;176;20;8;;;5.234.226;552.816;NL;NLD;Netherlands;
7159976;16-3-2020;1413;278;24;4;0;;5.234.226;552.816;NL;NLD;Netherlands;
7159978;17-3-2020;1705;292;43;19;;;5.234.226;552.816;NL;NLD;Netherlands;
7159981;18-3-2020;2051;346;58;15;;;5.234.226;552.816;NL;NLD;Netherlands;
7159983;19-3-2020;2460;409;76;18;;;5.234.226;552.816;NL;NLD;Netherlands;
7159985;20-3-2020;2994;534;106;30;;;5.234.226;552.816;NL;NLD;Netherlands;
7159987;21-3-2020;3631;637;136;30;;;5.234.226;552.816;NL;NLD;Netherlands;
7159989;22-3-2020;4204;573;179;43;;;5.234.226;552.816;NL;NLD;Netherlands;
7159991;23-3-2020;4749;545;213;34;;;5.234.226;552.816;NL;NLD;Netherlands;
7159993;24-3-2020;5560;811;276;63;;;5.234.226;552.816;NL;NLD;Netherlands;
7159995;25-3-2020;6412;852;356;80;;;5.234.226;552.816;NL;NLD;Netherlands;
7159997;26-3-2020;7431;1019;434;78;;;5.234.226;552.816;NL;NLD;Netherlands;
7159999;27-3-2020;8603;1172;546;112;;;5.234.226;552.816;NL;NLD;Netherlands;
7160001;28-3-2020;9762;1159;639;93;;;5.234.226;552.816;NL;NLD;Netherlands;
7160004;29-3-2020;10866;1104;771;132;;;5.234.226;552.816;NL;NLD;Netherlands;
7160018;30-3-2020;11750;884;864;93;;;5.234.226;552.816;NL;NLD;Netherlands;
7160020;31-3-2020;12595;845;1039;175;250;;5.234.226;552.816;NL;NLD;Netherlands;
7160022;1-4-2020;13614;1019;1173;134;;;5.234.226;552.816;NL;NLD;Netherlands;
7160024;2-4-2020;14697;1083;1339;166;0;;5.234.226;552.816;NL;NLD;Netherlands;
