Updated;Confirmed;ConfirmedChange;Deaths;DeathsChange;Recovered;RecoveredChange;Latitude;Longitude;ISO2;ISO3;Country_Region;AdminRegion1;AdminRegion2
27-2-2020;1;;0;;;;52.34226;5.52816;NL;NLD;Netherlands;;
28-2-2020;2;1;0;0;;;52.34226;5.52816;NL;NLD;Netherlands;;
29-2-2020;6;4;0;0;;;52.34226;5.52816;NL;NLD;Netherlands;;
1-3-2020;9;3;0;0;;;52.34226;5.52816;NL;NLD;Netherlands;;
2-3-2020;19;10;0;0;;;52.34226;5.52816;NL;NLD;Netherlands;;
3-3-2020;24;5;0;0;;;52.34226;5.52816;NL;NLD;Netherlands;;
4-3-2020;38;14;0;0;;;52.34226;5.52816;NL;NLD;Netherlands;;
5-3-2020;82;44;0;0;;;52.34226;5.52816;NL;NLD;Netherlands;;
6-3-2020;128;46;1;1;0;;52.34226;5.52816;NL;NLD;Netherlands;;
7-3-2020;188;60;1;0;0;0;52.34226;5.52816;NL;NLD;Netherlands;;
8-3-2020;264;76;3;2;0;0;52.34226;5.52816;NL;NLD;Netherlands;;
9-3-2020;321;57;4;1;0;0;52.34226;5.52816;NL;NLD;Netherlands;;
10-3-2020;382;61;4;0;0;0;52.34226;5.52816;NL;NLD;Netherlands;;
11-3-2020;503;121;5;1;0;0;52.34226;5.52816;NL;NLD;Netherlands;;
12-3-2020;614;111;5;0;0;0;52.34226;5.52816;NL;NLD;Netherlands;;
13-3-2020;804;190;10;5;0;0;52.34226;5.52816;NL;NLD;Netherlands;;
14-3-2020;959;155;12;2;;;52.34226;5.52816;NL;NLD;Netherlands;;
15-3-2020;1135;176;20;8;;;52.34226;5.52816;NL;NLD;Netherlands;;
16-3-2020;1413;278;24;4;0;;52.34226;5.52816;NL;NLD;Netherlands;;
17-3-2020;1705;292;43;19;;;52.34226;5.52816;NL;NLD;Netherlands;;
18-3-2020;2051;346;58;15;;;52.34226;5.52816;NL;NLD;Netherlands;;
19-3-2020;2460;409;76;18;;;52.34226;5.52816;NL;NLD;Netherlands;;
20-3-2020;2994;534;106;30;;;52.34226;5.52816;NL;NLD;Netherlands;;
21-3-2020;3631;637;136;30;;;52.34226;5.52816;NL;NLD;Netherlands;;
22-3-2020;4204;573;179;43;;;52.34226;5.52816;NL;NLD;Netherlands;;
23-3-2020;4749;545;213;34;;;52.34226;5.52816;NL;NLD;Netherlands;;
24-3-2020;5560;811;276;63;;;52.34226;5.52816;NL;NLD;Netherlands;;
25-3-2020;6412;852;356;80;;;52.34226;5.52816;NL;NLD;Netherlands;;
26-3-2020;7431;1019;434;78;;;52.34226;5.52816;NL;NLD;Netherlands;;
27-3-2020;8603;1172;546;112;;;52.34226;5.52816;NL;NLD;Netherlands;;
28-3-2020;9762;1159;639;93;;;52.34226;5.52816;NL;NLD;Netherlands;;
29-3-2020;10866;1104;771;132;;;52.34226;5.52816;NL;NLD;Netherlands;;
30-3-2020;11750;884;864;93;;;52.34226;5.52816;NL;NLD;Netherlands;;
31-3-2020;12595;845;1039;175;250;;52.34226;5.52816;NL;NLD;Netherlands;;
1-4-2020;13614;1019;1173;134;;;52.34226;5.52816;NL;NLD;Netherlands;;
2-4-2020;14697;1083;1339;166;0;;52.34226;5.52816;NL;NLD;Netherlands;;
3-4-2020;15723;1026;1487;148;;;52.34226;5.52816;NL;NLD;Netherlands;;
4-4-2020;16627;904;1651;164;;;52.34226;5.52816;NL;NLD;Netherlands;;
5-4-2020;17851;1224;1766;115;;;52.34226;5.52816;NL;NLD;Netherlands;;
6-4-2020;18803;952;1867;101;;;52.34226;5.52816;NL;NLD;Netherlands;;
7-4-2020;19580;777;2101;234;;;52.34226;5.52816;NL;NLD;Netherlands;;
8-4-2020;20549;969;2248;147;;;52.34226;5.52816;NL;NLD;Netherlands;;
9-4-2020;21762;1213;2396;148;;;52.34226;5.52816;NL;NLD;Netherlands;;
10-4-2020;23097;1335;2511;115;;;52.34226;5.52816;NL;NLD;Netherlands;;
11-4-2020;24413;1316;2643;132;;;52.34226;5.52816;NL;NLD;Netherlands;;
12-4-2020;25587;1174;2737;94;;;52.34226;5.52816;NL;NLD;Netherlands;;
13-4-2020;26551;964;2823;86;;;52.34226;5.52816;NL;NLD;Netherlands;;
14-4-2020;27419;868;2945;122;3459;;52.34226;5.52816;NL;NLD;Netherlands;;
15-4-2020;28153;734;3134;189;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
16-4-2020;29214;1061;3315;181;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
17-4-2020;30449;1235;3459;144;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
18-4-2020;31589;1140;3601;142;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
19-4-2020;32655;1066;3684;83;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
20-4-2020;33405;750;3751;67;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
21-4-2020;34134;729;3916;165;;;52.34226;5.52816;NL;NLD;Netherlands;;
22-4-2020;34842;708;4054;138;3459;;52.34226;5.52816;NL;NLD;Netherlands;;
23-4-2020;35729;887;4177;123;;;52.34226;5.52816;NL;NLD;Netherlands;;
24-4-2020;36535;806;4289;112;3459;;52.34226;5.52816;NL;NLD;Netherlands;;
25-4-2020;37190;655;4409;120;;;52.34226;5.52816;NL;NLD;Netherlands;;
26-4-2020;37845;655;4475;66;3459;;52.34226;5.52816;NL;NLD;Netherlands;;
27-4-2020;38245;400;4518;43;;;52.34226;5.52816;NL;NLD;Netherlands;;
28-4-2020;38416;171;4566;48;3459;;52.34226;5.52816;NL;NLD;Netherlands;;
29-4-2020;38802;386;4711;145;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
30-4-2020;39316;514;4795;84;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
1-5-2020;39791;475;4893;98;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
2-5-2020;40236;445;4987;94;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
3-5-2020;40571;335;5056;69;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
4-5-2020;40770;199;5082;26;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
5-5-2020;41087;317;5168;86;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
6-5-2020;41319;232;5204;36;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
7-5-2020;41774;455;5288;84;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
8-5-2020;42093;319;5359;71;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
9-5-2020;42382;289;5422;63;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
10-5-2020;42627;245;5440;18;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
11-5-2020;42788;161;5456;16;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
12-5-2020;42984;196;5510;54;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
13-5-2020;43211;227;5562;52;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
14-5-2020;43481;270;5590;28;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
15-5-2020;43681;200;5643;53;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
16-5-2020;43870;189;5670;27;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
17-5-2020;43995;125;5680;10;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
18-5-2020;44141;146;5694;14;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
19-5-2020;44249;108;5715;21;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
20-5-2020;44447;198;5748;33;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
21-5-2020;44700;253;5775;27;;;52.34226;5.52816;NL;NLD;Netherlands;;
22-5-2020;44888;188;5788;13;;;52.34226;5.52816;NL;NLD;Netherlands;;
23-5-2020;45064;176;5811;23;;;52.34226;5.52816;NL;NLD;Netherlands;;
24-5-2020;45236;172;5822;11;;;52.34226;5.52816;NL;NLD;Netherlands;;
25-5-2020;45445;209;5830;8;;;52.34226;5.52816;NL;NLD;Netherlands;;
26-5-2020;45578;133;5856;26;;;52.34226;5.52816;NL;NLD;Netherlands;;
27-5-2020;45768;190;5871;15;;;52.34226;5.52816;NL;NLD;Netherlands;;
28-5-2020;45950;182;5903;32;;;52.34226;5.52816;NL;NLD;Netherlands;;
29-5-2020;46126;176;5931;28;;;52.34226;5.52816;NL;NLD;Netherlands;;
30-5-2020;46257;131;5951;20;;;52.34226;5.52816;NL;NLD;Netherlands;;
