Gemeente;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;Municipality_name
Aa en Hunze;0;0;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;4;12,6;0;0;0;0;;;WAAR;Aalsmeer
Aalten;0;0;0;0;0;0;;;WAAR;Aalten
Achtkarspelen;0;0;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;2;9,9;1;5;0;0;;;WAAR;Alblasserdam
Albrandswaard;4;15,6;0;0;0;0;;;WAAR;Albrandswaard
Alkmaar;8;7,3;5;4,6;0;0;;;WAAR;Alkmaar
Almelo;2;2,7;1;1,4;0;0;;;WAAR;Almelo
Almere;3;1,4;3;1,4;0;0;;;WAAR;Almere
Alphen aan den Rijn;7;6,3;3;2,7;0;0;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;6;58,8;4;39,2;0;0;;;WAAR;Alphen-Chaam
Altena;11;19,7;4;7,1;0;0;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;26;16,5;10;6,4;1;0,6;;;WAAR;Amersfoort
Amstelveen;13;14,2;3;3,3;0;0;;;WAAR;Amstelveen
Amsterdam;92;10,5;35;4;1;0,1;;;WAAR;Amsterdam
Apeldoorn;9;5,5;3;1,8;0;0;;;WAAR;Apeldoorn
Appingedam;0;0;0;0;0;0;;;WAAR;Appingedam
Arnhem;10;6,2;4;2,5;0;0;;;WAAR;Arnhem
Assen;1;1,5;1;1,5;0;0;;;WAAR;Assen
Asten;2;12;1;6;0;0;;;WAAR;Asten
Baarle-Nassau;0;0;0;0;0;0;;;WAAR;Baarle-Nassau
Baarn;0;0;0;0;0;0;;;WAAR;Baarn
Barendrecht;3;6,2;3;6,2;0;0;;;WAAR;Barendrecht
Barneveld;7;11,8;1;1,7;0;0;;;WAAR;Barneveld
Beek (L.);3;18,9;2;12,6;0;0;;;WAAR;Beek (L.)
Beekdaelen;17;47,3;8;22,3;3;8,3;;;WAAR;Beekdaelen
Beemster;0;0;0;0;0;0;;;WAAR;Beemster
Beesel;0;0;0;0;0;0;;;WAAR;Beesel
Berg en Dal;15;42,9;1;2,9;0;0;;;WAAR;Berg en Dal
Bergeijk;1;5,4;1;5,4;0;0;;;WAAR;Bergeijk
Bergen (L.);1;7,6;0;0;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);4;13,4;3;10,1;0;0;;;WAAR;Bergen (NH.)
Bergen op Zoom;5;7,4;5;7,4;1;1,5;;;WAAR;Bergen op Zoom
Berkelland;1;2,3;0;0;0;0;;;WAAR;Berkelland
Bernheze;28;89,6;17;54,4;2;6,4;;;WAAR;Bernheze
Best;6;20;5;16,7;0;0;;;WAAR;Best
Beuningen;6;23,2;0;0;0;0;;;WAAR;Beuningen
Beverwijk;3;7,2;1;2,4;0;0;;;WAAR;Beverwijk
Bladel;3;14,7;5;24,5;1;4,9;;;WAAR;Bladel
Blaricum;2;17,3;0;0;0;0;;;WAAR;Blaricum
Bloemendaal;5;21,2;0;0;0;0;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;1;2,9;0;0;0;0;;;WAAR;Bodegraven-Reeuwijk
Boekel;20;185,4;7;64,9;2;18,5;;;WAAR;Boekel
Borger-Odoorn;0;0;0;0;0;0;;;WAAR;Borger-Odoorn
Borne;2;8,6;1;4,3;0;0;;;WAAR;Borne
Borsele;3;13,2;2;8,8;0;0;;;WAAR;Borsele
Boxmeer;3;10,2;2;6,8;0;0;;;WAAR;Boxmeer
Boxtel;5;16,2;1;3,2;1;3,2;;;WAAR;Boxtel
Breda;100;54,3;34;18,5;6;3,3;;;WAAR;Breda
Brielle;0;0;0;0;0;0;;;WAAR;Brielle
Bronckhorst;1;2,8;0;0;0;0;;;WAAR;Bronckhorst
Brummen;0;0;1;4,8;0;0;;;WAAR;Brummen
Brunssum;5;18;3;10,8;1;3,6;;;WAAR;Brunssum
Bunnik;1;6,6;0;0;0;0;;;WAAR;Bunnik
Bunschoten;0;0;0;0;0;0;;;WAAR;Bunschoten
Buren;5;18,7;1;3,7;0;0;;;WAAR;Buren
Capelle aan den IJssel;1;1,5;0;0;0;0;;;WAAR;Capelle aan den IJssel
Castricum;5;13,9;2;5,6;0;0;;;WAAR;Castricum
Coevorden;9;25,5;1;2,8;0;0;;;WAAR;Coevorden
Cranendonck;6;28,4;0;0;1;4,7;;;WAAR;Cranendonck
Cuijk;2;8;1;4;0;0;;;WAAR;Cuijk
Culemborg;3;10,4;2;6,9;0;0;;;WAAR;Culemborg
Dalfsen;1;3,5;1;3,5;0;0;;;WAAR;Dalfsen
Dantumadiel;0;0;0;0;0;0;;;WAAR;Dantumadiel
De Bilt;12;27,8;2;4,6;0;0;;;WAAR;De Bilt
De Fryske Marren;6;11,6;1;1,9;0;0;;;WAAR;De Fryske Marren
De Ronde Venen;2;4,5;0;0;0;0;;;WAAR;De Ronde Venen
De Wolden;1;4,1;0;0;0;0;;;WAAR;De Wolden
Delft;3;2,9;3;2,9;0;0;;;WAAR;Delft
Delfzijl;0;0;0;0;0;0;;;WAAR;Delfzijl
Den Helder;2;3,6;2;3,6;0;0;;;WAAR;Den Helder
Deurne;13;40;9;27,7;1;3,1;;;WAAR;Deurne
Deventer;5;5;2;2;0;0;;;WAAR;Deventer
Diemen;1;3,2;1;3,2;0;0;;;WAAR;Diemen
Dinkelland;7;26,5;3;11,3;1;3,8;;;WAAR;Dinkelland
Doesburg;1;9;0;0;0;0;;;WAAR;Doesburg
Doetinchem;0;0;1;1,7;0;0;;;WAAR;Doetinchem
Dongen;3;11,4;0;0;0;0;;;WAAR;Dongen
Dordrecht;5;4,2;7;5,9;0;0;;;WAAR;Dordrecht
Drechterland;0;0;0;0;0;0;;;WAAR;Drechterland
Drimmelen;12;44;4;14,7;0;0;;;WAAR;Drimmelen
Dronten;7;16,8;2;4,8;0;0;;;WAAR;Dronten
Druten;5;26,4;3;15,9;0;0;;;WAAR;Druten
Duiven;2;8;0;0;0;0;;;WAAR;Duiven
Echt-Susteren;10;31,6;9;28,5;3;9,5;;;WAAR;Echt-Susteren
Edam-Volendam;1;2,8;2;5,5;0;0;;;WAAR;Edam-Volendam
Ede;5;4,3;1;0,9;0;0;;;WAAR;Ede
Eemnes;1;10,8;0;0;0;0;;;WAAR;Eemnes
Eersel;5;25,9;4;20,7;0;0;;;WAAR;Eersel
Eijsden-Margraten;3;11,6;0;0;0;0;;;WAAR;Eijsden-Margraten
Eindhoven;25;10,7;10;4,3;0;0;;;WAAR;Eindhoven
Elburg;1;4,3;1;4,3;0;0;;;WAAR;Elburg
Emmen;3;2,8;0;0;0;0;;;WAAR;Emmen
Enkhuizen;1;5,4;1;5,4;0;0;;;WAAR;Enkhuizen
Enschede;6;3,8;3;1,9;0;0;;;WAAR;Enschede
Epe;4;12,1;1;3;0;0;;;WAAR;Epe
Ermelo;9;33,3;5;18,5;0;0;;;WAAR;Ermelo
Etten-Leur;13;29,6;4;9,1;1;2,3;;;WAAR;Etten-Leur
Geertruidenberg;7;32,5;3;13,9;0;0;;;WAAR;Geertruidenberg
Geldrop-Mierlo;3;7,6;1;2,5;1;2,5;;;WAAR;Geldrop-Mierlo
Gemert-Bakel;34;110,7;25;81,4;2;6,5;;;WAAR;Gemert-Bakel
Gennep;3;17,7;2;11,8;1;5,9;;;WAAR;Gennep
Gilze en Rijen;3;11,4;0;0;0;0;;;WAAR;Gilze en Rijen
Goeree-Overflakkee;9;18;1;2;0;0;;;WAAR;Goeree-Overflakkee
Goes;3;7,9;0;0;0;0;;;WAAR;Goes
Goirle;11;46;2;8,4;2;8,4;;;WAAR;Goirle
Gooise Meren;7;12,1;1;1,7;0;0;;;WAAR;Gooise Meren
Gorinchem;0;0;0;0;0;0;;;WAAR;Gorinchem
Gouda;8;10,9;2;2,7;0;0;;;WAAR;Gouda
Grave;3;24,1;1;8;0;0;;;WAAR;Grave
Groningen (gemeente);11;4,7;1;0,4;0;0;;;WAAR;Groningen (gemeente)
Gulpen-Wittem;2;14,1;1;7,1;0;0;;;WAAR;Gulpen-Wittem
Haaksbergen;2;8,2;0;0;0;0;;;WAAR;Haaksbergen
Haaren;9;62,6;3;20,9;1;7;;;WAAR;Haaren
Haarlem;9;5,5;4;2,5;0;0;;;WAAR;Haarlem
Haarlemmermeer;7;4,5;3;1,9;1;0,6;;;WAAR;Haarlemmermeer
Halderberge;2;6,6;1;3,3;0;0;;;WAAR;Halderberge
Hardenberg;0;0;2;3,3;0;0;;;WAAR;Hardenberg
Harderwijk;4;8,3;4;8,3;1;2,1;;;WAAR;Harderwijk
Hardinxveld-Giessendam;2;10,9;0;0;0;0;;;WAAR;Hardinxveld-Giessendam
Harlingen;1;6,4;0;0;0;0;;;WAAR;Harlingen
Hattem;0;0;0;0;0;0;;;WAAR;Hattem
Heemskerk;3;7,7;2;5,1;0;0;;;WAAR;Heemskerk
Heemstede;6;22;0;0;0;0;;;WAAR;Heemstede
Heerde;4;21,5;7;37,7;0;0;;;WAAR;Heerde
Heerenveen;0;0;0;0;0;0;;;WAAR;Heerenveen
Heerhugowaard;2;3,5;1;1,7;0;0;;;WAAR;Heerhugowaard
Heerlen;14;16,1;13;14,9;2;2,3;;;WAAR;Heerlen
Heeze-Leende;4;24,8;2;12,4;0;0;;;WAAR;Heeze-Leende
Heiloo;3;12,5;0;0;0;0;;;WAAR;Heiloo
Hellendoorn;2;5,6;0;0;0;0;;;WAAR;Hellendoorn
Hellevoetsluis;1;2,5;0;0;0;0;;;WAAR;Hellevoetsluis
Helmond;17;18,4;12;13;1;1,1;;;WAAR;Helmond
Hendrik-Ido-Ambacht;0;0;1;3,2;0;0;;;WAAR;Hendrik-Ido-Ambacht
Hengelo (O.);4;4,9;1;1,2;0;0;;;WAAR;Hengelo (O.)
Het Hogeland;0;0;0;0;0;0;;;WAAR;Het Hogeland
Heumen;6;36,5;0;0;0;0;;;WAAR;Heumen
Heusden;5;11,2;0;0;0;0;;;WAAR;Heusden
Hillegom;1;4,5;1;4,5;0;0;;;WAAR;Hillegom
Hilvarenbeek;5;32,2;0;0;0;0;;;WAAR;Hilvarenbeek
Hilversum;3;3,3;2;2,2;0;0;;;WAAR;Hilversum
Hoeksche Waard;9;10,3;7;8;1;1,1;;;WAAR;Hoeksche Waard
Hof van Twente;3;8,6;1;2,9;0;0;;;WAAR;Hof van Twente
Hollands Kroon;1;2,1;2;4,1;0;0;;;WAAR;Hollands Kroon
Hoogeveen;3;5,4;1;1,8;0;0;;;WAAR;Hoogeveen
Hoorn;4;5,5;3;4,1;0;0;;;WAAR;Hoorn
Horst aan de Maas;8;18,9;6;14,1;1;2,4;;;WAAR;Horst aan de Maas
Houten;7;14;0;0;0;0;;;WAAR;Houten
Huizen;2;4,8;0;0;0;0;;;WAAR;Huizen
Hulst;0;0;0;0;0;0;;;WAAR;Hulst
IJsselstein;8;23,5;3;8,8;0;0;;;WAAR;IJsselstein
Kaag en Braassem;0;0;0;0;0;0;;;WAAR;Kaag en Braassem
Kampen;3;5,5;2;3,7;0;0;;;WAAR;Kampen
Kapelle;2;15,8;1;7,9;0;0;;;WAAR;Kapelle
Katwijk;1;1,5;1;1,5;0;0;;;WAAR;Katwijk
Kerkrade;4;8,7;2;4,4;0;0;;;WAAR;Kerkrade
Koggenland;2;8,8;0;0;0;0;;;WAAR;Koggenland
Krimpen aan den IJssel;3;10,2;0;0;0;0;;;WAAR;Krimpen aan den IJssel
Krimpenerwaard;4;7,1;2;3,6;0;0;;;WAAR;Krimpenerwaard
Laarbeek;6;26,6;6;26,6;0;0;;;WAAR;Laarbeek
Landerd;16;101,7;7;44,5;1;6,4;;;WAAR;Landerd
Landgraaf;7;18,7;4;10,7;1;2,7;;;WAAR;Landgraaf
Landsmeer;3;26,1;0;0;0;0;;;WAAR;Landsmeer
Langedijk;4;14,2;0;0;0;0;;;WAAR;Langedijk
Lansingerland;10;16;5;8;0;0;;;WAAR;Lansingerland
Laren (NH.);0;0;1;8,9;0;0;;;WAAR;Laren (NH.)
Leeuwarden;5;4;1;0,8;1;0,8;;;WAAR;Leeuwarden
Leiden;11;8,8;5;4;0;0;;;WAAR;Leiden
Leiderdorp;2;7,4;1;3,7;0;0;;;WAAR;Leiderdorp
Leidschendam-Voorburg;6;7,8;2;2,6;0;0;;;WAAR;Leidschendam-Voorburg
Lelystad;10;12,7;8;10,2;0;0;;;WAAR;Lelystad
Leudal;14;39;9;25,1;0;0;;;WAAR;Leudal
Leusden;4;13,2;0;0;0;0;;;WAAR;Leusden
Lingewaard;5;10,7;1;2,1;0;0;;;WAAR;Lingewaard
Lisse;0;0;1;4,4;0;0;;;WAAR;Lisse
Lochem;1;3;1;3;0;0;;;WAAR;Lochem
Loon op Zand;7;29,9;2;8,5;0;0;;;WAAR;Loon op Zand
Lopik;3;20,7;2;13,8;0;0;;;WAAR;Lopik
Loppersum;0;0;0;0;0;0;;;WAAR;Loppersum
Losser;0;0;0;0;0;0;;;WAAR;Losser
Maasdriel;1;4;1;4;0;0;;;WAAR;Maasdriel
Maasgouw;4;16,7;3;12,5;1;4,2;;;WAAR;Maasgouw
Maassluis;2;6;1;3;0;0;;;WAAR;Maassluis
Maastricht;39;32,1;14;11,5;2;1,6;;;WAAR;Maastricht
Medemblik;0;0;0;0;0;0;;;WAAR;Medemblik
Meerssen;2;10,6;0;0;0;0;;;WAAR;Meerssen
Meierijstad;64;78,8;36;44,3;13;16;;;WAAR;Meierijstad
Meppel;0;0;1;2,9;0;0;;;WAAR;Meppel
Middelburg (Z.);2;4,1;4;8,2;0;0;;;WAAR;Middelburg (Z.)
Midden-Delfland;1;5,2;0;0;0;0;;;WAAR;Midden-Delfland
Midden-Drenthe;0;0;0;0;0;0;;;WAAR;Midden-Drenthe
Midden-Groningen;2;3,3;0;0;0;0;;;WAAR;Midden-Groningen
Mill en Sint Hubert;1;9,1;1;9,1;0;0;;;WAAR;Mill en Sint Hubert
Moerdijk;1;2,7;1;2,7;0;0;;;WAAR;Moerdijk
Molenlanden;7;15,9;4;9,1;0;0;;;WAAR;Molenlanden
Montferland;1;2,8;1;2,8;0;0;;;WAAR;Montferland
Montfoort;0;0;0;0;0;0;;;WAAR;Montfoort
Mook en Middelaar;0;0;0;0;0;0;;;WAAR;Mook en Middelaar
Neder-Betuwe;4;16,4;3;12,3;0;0;;;WAAR;Neder-Betuwe
Nederweert;7;41,1;4;23,5;0;0;;;WAAR;Nederweert
Nieuwegein;4;6,3;3;4,7;0;0;;;WAAR;Nieuwegein
Nieuwkoop;1;3,5;0;0;0;0;;;WAAR;Nieuwkoop
Nijkerk;2;4,6;1;2,3;0;0;;;WAAR;Nijkerk
Nijmegen;54;30,4;13;7,3;0;0;;;WAAR;Nijmegen
Nissewaard;7;8,2;7;8,2;0;0;;;WAAR;Nissewaard
Noardeast-Fryslan;0;0;1;2,2;0;0;;;WAAR;Noardeast-Fryslan
Noord-Beveland;1;13,5;0;0;0;0;;;WAAR;Noord-Beveland
Noordenveld;1;3,2;1;3,2;1;3,2;;;WAAR;Noordenveld
Noordoostpolder;2;4,2;0;0;0;0;;;WAAR;Noordoostpolder
Noordwijk;3;6,9;2;4,6;0;0;;;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;2;8,6;2;8,6;0;0;;;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;5;18;4;14,4;1;3,6;;;WAAR;Nunspeet
Oegstgeest;3;12,1;2;8,1;0;0;;;WAAR;Oegstgeest
Oirschot;1;5,3;1;5,3;0;0;;;WAAR;Oirschot
Oisterwijk;10;38,1;3;11,4;0;0;;;WAAR;Oisterwijk
Oldambt;0;0;0;0;0;0;;;WAAR;Oldambt
Oldebroek;4;16,9;2;8,5;0;0;;;WAAR;Oldebroek
Oldenzaal;3;9,4;1;3,1;0;0;;;WAAR;Oldenzaal
Olst-Wijhe;0;0;0;0;0;0;;;WAAR;Olst-Wijhe
Ommen;3;16,7;1;5,6;0;0;;;WAAR;Ommen
Oost Gelre;0;0;1;3,4;0;0;;;WAAR;Oost Gelre
Oosterhout;10;17,9;5;8,9;0;0;;;WAAR;Oosterhout
Ooststellingwerf;0;0;0;0;0;0;;;WAAR;Ooststellingwerf
Oostzaan;2;20,5;0;0;0;0;;;WAAR;Oostzaan
Opmeer;0;0;0;0;0;0;;;WAAR;Opmeer
Opsterland;2;6,7;0;0;0;0;;;WAAR;Opsterland
Oss;19;20,7;9;9,8;0;0;;;WAAR;Oss
Oude IJsselstreek;2;5,1;2;5,1;0;0;;;WAAR;Oude IJsselstreek
Ouder-Amstel;3;21,4;1;7,1;0;0;;;WAAR;Ouder-Amstel
Oudewater;1;9,8;1;9,8;0;0;;;WAAR;Oudewater
Overbetuwe;10;20,9;10;20,9;0;0;;;WAAR;Overbetuwe
Papendrecht;1;3,1;0;0;0;0;;;WAAR;Papendrecht
Peel en Maas;36;82,9;25;57,6;0;0;;;WAAR;Peel en Maas
Pekela;1;8,2;1;8,2;0;0;;;WAAR;Pekela
Pijnacker-Nootdorp;10;18,1;2;3,6;0;0;;;WAAR;Pijnacker-Nootdorp
Purmerend;6;7,4;6;7,4;0;0;;;WAAR;Purmerend
Putten;2;8,3;1;4,1;0;0;;;WAAR;Putten
Raalte;3;8;2;5,3;0;0;;;WAAR;Raalte
Reimerswaal;3;13,2;3;13,2;0;0;;;WAAR;Reimerswaal
Renkum;8;25,5;2;6,4;0;0;;;WAAR;Renkum
Renswoude;0;0;0;0;0;0;;;WAAR;Renswoude
Reusel-De Mierden;1;7,6;2;15,3;0;0;;;WAAR;Reusel-De Mierden
Rheden;4;9,1;2;4,6;0;0;;;WAAR;Rheden
Rhenen;0;0;0;0;0;0;;;WAAR;Rhenen
Ridderkerk;0;0;1;2,2;0;0;;;WAAR;Ridderkerk
Rijssen-Holten;0;0;0;0;0;0;;;WAAR;Rijssen-Holten
Rijswijk (ZH.);3;5,5;3;5,5;0;0;;;WAAR;Rijswijk (ZH.)
Roerdalen;1;4,9;1;4,9;0;0;;;WAAR;Roerdalen
Roermond;8;13,7;4;6,9;0;0;;;WAAR;Roermond
Roosendaal;6;7,8;1;1,3;0;0;;;WAAR;Roosendaal
Rotterdam;60;9,2;19;2,9;0;0;;;WAAR;Rotterdam
Rozendaal;2;117,4;1;58,7;0;0;;;WAAR;Rozendaal
Rucphen;1;4,4;1;4,4;0;0;;;WAAR;Rucphen
Schagen;7;15,1;2;4,3;0;0;;;WAAR;Schagen
Scherpenzeel;0;0;0;0;0;0;;;WAAR;Scherpenzeel
Schiedam;1;1,3;2;2,5;0;0;;;WAAR;Schiedam
Schiermonnikoog;0;0;0;0;0;0;;;WAAR;Schiermonnikoog
Schouwen-Duiveland;1;3;1;3;0;0;;;WAAR;Schouwen-Duiveland
's-Gravenhage (gemeente);26;4,8;12;2,2;0;0;;;WAAR;'s-Gravenhage (gemeente)
's-Hertogenbosch;30;19,3;14;9;2;1,3;;;WAAR;'s-Hertogenbosch
Simpelveld;3;28,4;1;9,5;0;0;;;WAAR;Simpelveld
Sint Anthonis;5;42,9;4;34,3;0;0;;;WAAR;Sint Anthonis
Sint-Michielsgestel;6;20,5;3;10,3;0;0;;;WAAR;Sint-Michielsgestel
Sittard-Geleen;51;55,2;17;18,4;5;5,4;;;WAAR;Sittard-Geleen
Sliedrecht;1;4;0;0;0;0;;;WAAR;Sliedrecht
Sluis;2;8,6;2;8,6;0;0;;;WAAR;Sluis
Smallingerland;3;5,3;1;1,8;0;0;;;WAAR;Smallingerland
Soest;6;12,9;0;0;0;0;;;WAAR;Soest
Someren;4;20,7;4;20,7;1;5,2;;;WAAR;Someren
Son en Breugel;5;28,9;3;17,3;2;11,5;;;WAAR;Son en Breugel
Stadskanaal;0;0;0;0;0;0;;;WAAR;Stadskanaal
Staphorst;2;11,7;0;0;0;0;;;WAAR;Staphorst
Stede Broec;1;4,6;1;4,6;0;0;;;WAAR;Stede Broec
Steenbergen;2;8,2;1;4,1;1;4,1;;;WAAR;Steenbergen
Steenwijkerland;1;2,3;1;2,3;0;0;;;WAAR;Steenwijkerland
Stein (L.);4;16;2;8;0;0;;;WAAR;Stein (L.)
Stichtse Vecht;6;9,2;2;3,1;0;0;;;WAAR;Stichtse Vecht
Sudwest-Fryslan;2;2,2;1;1,1;0;0;;;WAAR;Sudwest-Fryslan
Terneuzen;3;5,5;3;5,5;0;0;;;WAAR;Terneuzen
Terschelling;0;0;0;0;0;0;;;WAAR;Terschelling
Texel;0;0;1;7,4;0;0;;;WAAR;Texel
Teylingen;2;5,3;1;2,7;0;0;;;WAAR;Teylingen
Tholen;2;7,8;3;11,6;0;0;;;WAAR;Tholen
Tiel;4;9,5;4;9,5;0;0;;;WAAR;Tiel
Tilburg;108;49,1;41;18,7;7;3,2;;;WAAR;Tilburg
Tubbergen;2;9,4;0;0;0;0;;;WAAR;Tubbergen
Twenterand;0;0;0;0;0;0;;;WAAR;Twenterand
Tynaarlo;3;8,9;0;0;0;0;;;WAAR;Tynaarlo
Tytsjerksteradiel;1;3,1;0;0;0;0;;;WAAR;Tytsjerksteradiel
Uden;53;125,8;30;71,2;6;14,2;;;WAAR;Uden
Uitgeest;0;0;0;0;0;0;;;WAAR;Uitgeest
Uithoorn;1;3,4;1;3,4;0;0;;;WAAR;Uithoorn
Urk;2;9,5;4;19;0;0;;;WAAR;Urk
Utrecht (gemeente);69;19,3;12;3,4;0;0;;;WAAR;Utrecht (gemeente)
Utrechtse Heuvelrug;7;14,1;0;0;0;0;;;WAAR;Utrechtse Heuvelrug
Vaals;0;0;0;0;0;0;;;WAAR;Vaals
Valkenburg aan de Geul;3;18,3;0;0;0;0;;;WAAR;Valkenburg aan de Geul
Valkenswaard;1;3,2;1;3,2;0;0;;;WAAR;Valkenswaard
Veendam;0;0;0;0;0;0;;;WAAR;Veendam
Veenendaal;1;1,5;3;4,5;0;0;;;WAAR;Veenendaal
Veere;1;4,6;0;0;0;0;;;WAAR;Veere
