Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;
Aa en Hunze;0;0;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;1;3,1;0;0;1;3,1;;;WAAR;Aalsmeer
Aalten;2;7,4;1;3,7;1;3,7;;;WAAR;Aalten
Achtkarspelen;1;3,6;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;4;19,8;1;5;1;5;;;WAAR;Alblasserdam
Albrandswaard;9;35,2;3;11,7;1;3,9;;;WAAR;Albrandswaard
Alkmaar;17;15,5;1;0,9;3;2,7;;;WAAR;Alkmaar
Almelo;1;1,4;1;1,4;0;0;;;WAAR;Almelo
Almere;84;39,6;5;2,4;9;4,2;;;WAAR;Almere
Alphen aan den Rijn;26;23,2;3;2,7;2;1,8;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;0;0;0;0;0;0;;;WAAR;Alphen-Chaam
Altena;6;10,7;1;1,8;0;0;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;22;14;2;1,3;1;0,6;;;WAAR;Amersfoort
Amstelveen;14;15,3;0;0;1;1,1;;;WAAR;Amstelveen
Amsterdam;310;35,5;40;4,6;43;4,9;;;WAAR;Amsterdam
Apeldoorn;32;19,5;0;0;5;3,1;;;WAAR;Apeldoorn
Appingedam;0;0;0;0;0;0;;;WAAR;Appingedam
Arnhem;25;15,5;2;1,2;1;0,6;;;WAAR;Arnhem
Assen;4;5,8;0;0;0;0;;;WAAR;Assen
Asten;4;23,9;0;0;2;12;;;WAAR;Asten
Baarle-Nassau;2;29,2;0;0;1;14,6;;;WAAR;Baarle-Nassau
Baarn;9;36,2;0;0;1;4;;;WAAR;Baarn
Barendrecht;16;32,8;3;6,2;2;4,1;;;WAAR;Barendrecht
Barneveld;15;25,4;0;0;0;0;;;WAAR;Barneveld
Beek (L.);3;18,9;0;0;1;6,3;;;WAAR;Beek (L.)
Beekdaelen;18;50,1;2;5,6;2;5,6;;;WAAR;Beekdaelen
Beemster;0;0;0;0;0;0;;;WAAR;Beemster
Beesel;0;0;0;0;0;0;;;WAAR;Beesel
Berg en Dal;8;22,9;1;2,9;1;2,9;;;WAAR;Berg en Dal
Bergeijk;5;26,8;2;10,7;0;0;;;WAAR;Bergeijk
Bergen (L.);2;15,3;0;0;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);6;20,1;0;0;0;0;;;WAAR;Bergen (NH.)
Bergen op Zoom;22;32,6;2;3;1;1,5;;;WAAR;Bergen op Zoom
Berkelland;5;11,4;1;2,3;1;2,3;;;WAAR;Berkelland
Bernheze;11;35,2;1;3,2;6;19,2;;;WAAR;Bernheze
Best;7;23,3;0;0;0;0;;;WAAR;Best
Beuningen;6;23,2;1;3,9;0;0;;;WAAR;Beuningen
Beverwijk;1;2,4;0;0;1;2,4;;;WAAR;Beverwijk
Bladel;9;44,1;0;0;0;0;;;WAAR;Bladel
Blaricum;2;17,3;1;8,7;0;0;;;WAAR;Blaricum
Bloemendaal;4;17;0;0;1;4,2;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;8;22,9;0;0;0;0;;;WAAR;Bodegraven-Reeuwijk
Boekel;0;0;0;0;0;0;;;WAAR;Boekel
Borger-Odoorn;1;3,9;0;0;0;0;;;WAAR;Borger-Odoorn
Borne;0;0;0;0;0;0;;;WAAR;Borne
Borsele;0;0;0;0;0;0;;;WAAR;Borsele
Boxmeer;7;23,8;0;0;4;13,6;;;WAAR;Boxmeer
Boxtel;22;71,4;1;3,2;2;6,5;;;WAAR;Boxtel
Breda;23;12,5;0;0;6;3,3;;;WAAR;Breda
Brielle;2;11,6;0;0;0;0;;;WAAR;Brielle
Bronckhorst;6;16,6;2;5,5;1;2,8;;;WAAR;Bronckhorst
Brummen;3;14,5;1;4,8;0;0;;;WAAR;Brummen
Brunssum;11;39,5;1;3,6;1;3,6;;;WAAR;Brunssum
Bunnik;5;32,9;0;0;0;0;;;WAAR;Bunnik
Bunschoten;6;27,4;0;0;1;4,6;;;WAAR;Bunschoten
Buren;7;26,2;1;3,7;1;3,7;;;WAAR;Buren
Capelle aan den IJssel;23;34,3;3;4,5;5;7,4;;;WAAR;Capelle aan den IJssel
Castricum;4;11,1;1;2,8;0;0;;;WAAR;Castricum
Coevorden;2;5,7;0;0;0;0;;;WAAR;Coevorden
Cranendonck;7;33,1;1;4,7;3;14,2;;;WAAR;Cranendonck
Cuijk;3;11,9;0;0;0;0;;;WAAR;Cuijk
Culemborg;5;17,3;0;0;0;0;;;WAAR;Culemborg
Dalfsen;3;10,5;0;0;0;0;;;WAAR;Dalfsen
Dantumadiel;0;0;0;0;0;0;;;WAAR;Dantumadiel
De Bilt;29;67,2;1;2,3;8;18,5;;;WAAR;De Bilt
De Fryske Marren;5;9,7;1;1,9;0;0;;;WAAR;De Fryske Marren
De Ronde Venen;8;18;0;0;0;0;;;WAAR;De Ronde Venen
De Wolden;0;0;0;0;1;4,1;;;WAAR;De Wolden
Delft;15;14,5;0;0;3;2,9;;;WAAR;Delft
Delfzijl;1;4,1;1;4,1;0;0;;;WAAR;Delfzijl
Den Helder;1;1,8;0;0;0;0;;;WAAR;Den Helder
Deurne;18;55,4;1;3,1;2;6,2;;;WAAR;Deurne
Deventer;41;40,7;2;2;3;3;;;WAAR;Deventer
Diemen;14;45,5;1;3,2;2;6,5;;;WAAR;Diemen
Dinkelland;2;7,6;1;3,8;0;0;;;WAAR;Dinkelland
Doesburg;6;54,2;1;9;0;0;;;WAAR;Doesburg
Doetinchem;8;13,8;1;1,7;1;1,7;;;WAAR;Doetinchem
Dongen;5;19,1;0;0;2;7,6;;;WAAR;Dongen
Dordrecht;81;67,9;2;1,7;7;5,9;;;WAAR;Dordrecht
Drechterland;1;5,1;0;0;0;0;;;WAAR;Drechterland
Drimmelen;5;18,3;0;0;1;3,7;;;WAAR;Drimmelen
Dronten;6;14,4;2;4,8;0;0;;;WAAR;Dronten
Druten;4;21,1;0;0;0;0;;;WAAR;Druten
Duiven;3;11,9;0;0;0;0;;;WAAR;Duiven
Echt-Susteren;6;19;0;0;0;0;;;WAAR;Echt-Susteren
Edam-Volendam;10;27,6;2;5,5;0;0;;;WAAR;Edam-Volendam
Ede;14;11,9;1;0,9;0;0;;;WAAR;Ede
Eemnes;2;21,6;0;0;0;0;;;WAAR;Eemnes
Eersel;4;20,7;0;0;1;5,2;;;WAAR;Eersel
Eijsden-Margraten;15;58,2;1;3,9;3;11,6;;;WAAR;Eijsden-Margraten
Eindhoven;52;22,2;8;3,4;11;4,7;;;WAAR;Eindhoven
Elburg;12;51,8;1;4,3;0;0;;;WAAR;Elburg
Emmen;6;5,6;0;0;0;0;;;WAAR;Emmen
Enkhuizen;0;0;0;0;0;0;;;WAAR;Enkhuizen
Enschede;31;19,4;1;0,6;3;1,9;;;WAAR;Enschede
Epe;9;27,1;1;3;3;9;;;WAAR;Epe
Ermelo;20;74,1;1;3,7;7;25,9;;;WAAR;Ermelo
Etten-Leur;15;34,2;0;0;4;9,1;;;WAAR;Etten-Leur
Geertruidenberg;3;13,9;0;0;0;0;;;WAAR;Geertruidenberg
Geldrop-Mierlo;8;20,1;0;0;2;5;;;WAAR;Geldrop-Mierlo
Gemert-Bakel;10;32,5;2;6,5;0;0;;;WAAR;Gemert-Bakel
Gennep;2;11,8;0;0;0;0;;;WAAR;Gennep
Gilze en Rijen;2;7,6;0;0;0;0;;;WAAR;Gilze en Rijen
Goeree-Overflakkee;7;14;0;0;2;4;;;WAAR;Goeree-Overflakkee
Goes;0;0;0;0;1;2,6;;;WAAR;Goes
Goirle;2;8,4;1;4,2;0;0;;;WAAR;Goirle
Gooise Meren;7;12,1;0;0;0;0;;;WAAR;Gooise Meren
Gorinchem;9;24,3;1;2,7;0;0;;;WAAR;Gorinchem
Gouda;13;17,7;3;4,1;4;5,4;;;WAAR;Gouda
Grave;6;48,2;1;8;0;0;;;WAAR;Grave
Groningen (gemeente);8;3,4;0;0;0;0;;;WAAR;Groningen (gemeente)
Gulpen-Wittem;4;28,2;0;0;1;7,1;;;WAAR;Gulpen-Wittem
Haaksbergen;3;12,3;0;0;2;8,2;;;WAAR;Haaksbergen
Haaren;8;55,7;1;7;0;0;;;WAAR;Haaren
Haarlem;22;13,5;1;0,6;5;3,1;;;WAAR;Haarlem
Haarlemmermeer;56;35,9;4;2,6;6;3,8;;;WAAR;Haarlemmermeer
Halderberge;2;6,6;0;0;0;0;;;WAAR;Halderberge
Hardenberg;9;14,8;0;0;0;0;;;WAAR;Hardenberg
Harderwijk;20;41,3;2;4,1;3;6,2;;;WAAR;Harderwijk
Hardinxveld-Giessendam;3;16,4;1;5,5;0;0;;;WAAR;Hardinxveld-Giessendam
Harlingen;1;6,4;0;0;0;0;;;WAAR;Harlingen
Hattem;0;0;0;0;0;0;;;WAAR;Hattem
Heemskerk;4;10,2;1;2,6;1;2,6;;;WAAR;Heemskerk
Heemstede;1;3,7;0;0;1;3,7;;;WAAR;Heemstede
Heerde;12;64,6;3;16,1;3;16,1;;;WAAR;Heerde
Heerenveen;6;11,9;0;0;0;0;;;WAAR;Heerenveen
