Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
Aa en Hunze;0;0;0;0;0;0
Aalsmeer;7;22;0;0;0;0
Aalten;1;3,7;0;0;0;0
Achtkarspelen;3;10,8;0;0;0;0
Alblasserdam;6;29,8;1;5;0;0
Albrandswaard;10;39,1;0;0;0;0
Alkmaar;19;17,4;0;0;0;0
Almelo;1;1,4;0;0;0;0
Almere;89;42;3;1,4;0;0
Alphen aan den Rijn;13;11,6;0;0;0;0
Alphen-Chaam;5;49;0;0;0;0
Altena;12;21,4;0;0;0;0
Ameland;0;0;0;0;0;0
Amersfoort;24;15,3;0;0;0;0
Amstelveen;53;57,8;0;0;0;0
Amsterdam;1123;128,7;12;1,4;0;0
Apeldoorn;23;14;0;0;0;0
Appingedam;0;0;0;0;0;0
Arnhem;29;18;0;0;0;0
Assen;3;4,4;0;0;0;0
Asten;2;12;0;0;0;0
Baarle-Nassau;2;29,2;0;0;0;0
Baarn;3;12,1;0;0;0;0
Barendrecht;29;59,5;0;0;0;0
Barneveld;7;11,8;0;0;0;0
Beek (L.);0;0;0;0;0;0
Beekdaelen;2;5,6;0;0;0;0
Beemster;13;129,7;0;0;0;0
Beesel;0;0;0;0;0;0
Berg en Dal;6;17,1;0;0;0;0
Bergeijk;1;5,4;0;0;0;0
Bergen (L.);0;0;0;0;0;0
Bergen (NH.);3;10,1;0;0;0;0
Bergen op Zoom;163;241,5;2;3;0;0
Berkelland;1;2,3;0;0;0;0
Bernheze;3;9,6;0;0;0;0
Best;7;23,3;0;0;0;0
Beuningen;5;19,3;0;0;0;0
Beverwijk;3;7,2;0;0;0;0
Bladel;4;19,6;0;0;0;0
Blaricum;8;69,3;0;0;0;0
Bloemendaal;8;33,9;0;0;0;0
Bodegraven-Reeuwijk;24;68,8;0;0;0;0
Boekel;0;0;0;0;0;0
Borger-Odoorn;0;0;0;0;0;0
Borne;1;4,3;0;0;0;0
Borsele;1;4,4;0;0;0;0
Boxmeer;4;13,6;0;0;0;0
Boxtel;1;3,2;0;0;0;0
Breda;136;73,9;0;0;0;0
Brielle;4;23,2;0;0;0;0
Bronckhorst;5;13,9;0;0;0;0
Brummen;6;28,9;0;0;0;0
Brunssum;1;3,6;0;0;0;0
Bunnik;2;13,2;0;0;0;0
Bunschoten;4;18,3;0;0;0;0
Buren;0;0;0;0;0;0
Capelle aan den IJssel;56;83,4;1;1,5;0;0
Castricum;2;5,6;0;0;0;0
Coevorden;0;0;0;0;0;0
Cranendonck;0;0;0;0;0;0
Cuijk;1;4;0;0;0;0
Culemborg;9;31,1;0;0;0;0
Dalfsen;2;7;0;0;0;0
Dantumadiel;0;0;0;0;0;0
De Bilt;7;16,2;1;2,3;0;0
De Fryske Marren;4;7,8;0;0;0;0
De Ronde Venen;9;20,2;0;0;0;0
De Wolden;0;0;0;0;0;0
Delft;34;32,8;0;0;0;0
Delfzijl;2;8,1;0;0;0;0
Den Helder;2;3,6;0;0;0;0
Deurne;5;15,4;0;0;0;0
Deventer;20;19,9;0;0;0;0
Diemen;28;91;0;0;0;0
Dinkelland;3;11,3;0;0;0;0
Doesburg;0;0;0;0;0;0
Doetinchem;7;12,1;0;0;0;0
Dongen;5;19,1;0;0;0;0
Dordrecht;61;51,1;1;0,8;0;0
Drechterland;0;0;0;0;0;0
Drimmelen;7;25,7;0;0;0;0
Dronten;0;0;0;0;0;0
Druten;0;0;0;0;0;0
Duiven;2;8;0;0;0;0
Echt-Susteren;1;3,2;0;0;0;0
Edam-Volendam;3;8,3;0;0;0;0
Ede;24;20,5;0;0;0;0
Eemnes;0;0;0;0;0;0
Eersel;2;10,4;0;0;0;0
Eijsden-Margraten;2;7,8;0;0;0;0
Eindhoven;55;23,5;1;0,4;1;0,4
Elburg;0;0;0;0;0;0
Emmen;5;4,7;0;0;0;0
Enkhuizen;2;10,8;0;0;0;0
Enschede;18;11,3;0;0;0;0
Epe;0;0;0;0;0;0
Ermelo;2;7,4;0;0;0;0
Etten-Leur;10;22,8;1;2,3;0;0
Geertruidenberg;6;27,8;0;0;0;0
Geldrop-Mierlo;10;25,2;0;0;0;0
Gemert-Bakel;3;9,8;0;0;0;0
Gennep;0;0;0;0;0;0
Gilze en Rijen;6;22,7;0;0;0;0
Goeree-Overflakkee;10;20;0;0;0;0
Goes;10;26,3;1;2,6;0;0
Goirle;7;29,3;0;0;0;0
Gooise Meren;9;15,5;0;0;0;0
Gorinchem;40;108;0;0;0;0
Gouda;107;145,7;2;2,7;0;0
Grave;0;0;0;0;0;0
Groningen (gemeente);48;20,6;0;0;0;0
Gulpen-Wittem;0;0;0;0;0;0
Haaksbergen;1;4,1;0;0;0;0
Haaren;1;7;0;0;0;0
Haarlem;48;29,5;0;0;0;0
